Timestamp,Scalar Wind Speed,Vector Wind Speed,Wind Gust,KE Total,PC Total,Temperature,Relative Humidity,Battery Voltage,Vector Wind Direction,Sigma-Theta
03/09/2018 14:00:00,4.753,4.716,6.766,0,0,11.89,99.5,13.24,271,7.122
03/09/2018 15:00:00,3.948,3.884,6.214,0,0,11.94,97.6,13.07,263.7,10.32
03/09/2018 16:00:00,3.105,3.044,5.92,0,0,11.69,100,12.99,272.1,11.34
03/09/2018 17:00:00,2.238,1.911,4.951,0,0,11.85,96.2,12.89,261.8,30.95
03/09/2018 18:00:00,2.466,2.311,4.561,0,0,11.79,95.1,12.81,240.3,20.29
03/09/2018 19:00:00,1.275,1.071,2.746,0,0,11.75,96.8,12.77,220.8,32.39
03/09/2018 20:00:00,1.732,1.673,2.948,0,0,11.72,99.5,12.72,211.7,14.91
03/09/2018 21:00:00,2.175,2.059,3.082,0,0,11.68,100,12.67,162.9,18.7
03/09/2018 22:00:00,1.995,1.953,3.58,0,0,11.46,100,12.62,132.2,11.67
03/09/2018 23:00:00,1.382,1.227,2.288,0,0,11.45,100,12.59,168.5,27.15
03/10/2018 00:00:00,1.743,1.733,2.544,0,0,11.37,100,12.58,84.4,6.376
03/10/2018 01:00:00,1.622,1.563,2.732,0,0,11.37,100,12.57,92.2,15.53
03/10/2018 02:00:00,0.773,0.711,1.467,0,0,11.34,100,12.57,98.3,22.84
03/10/2018 03:00:00,1.927,1.787,3.082,0,0,11.55,100,12.57,192.5,21.83
03/10/2018 04:00:00,1.186,0.98,2.84,0,0,12.01,100,12.55,205.6,33.72
03/10/2018 05:00:00,1.787,1.562,2.624,0,0,11.49,100,12.55,67.41,28.74
03/10/2018 06:00:00,1.13,1.005,2.086,0,0,11.6,100,12.54,95.3,26.89
03/10/2018 07:00:00,0.726,0.696,1.467,0,0,11.7,100,12.54,69.34,16.58
03/10/2018 08:00:00,0.911,0.61,2.005,0,0,11.93,100,12.54,169.9,46.51
03/10/2018 09:00:00,0.654,0.471,1.789,0,0,12.66,98,12.56,231,42.77
03/10/2018 10:00:00,1.456,0.867,2.664,0,0,13.53,87.5,12.72,175.3,51.55
03/10/2018 11:00:00,2.411,2.386,4.129,0,0,13.82,79.42,12.79,236,8.27
03/10/2018 12:00:00,3.48,3.458,4.573,16,0,13.42,86.7,13.04,248.9,6.503
03/10/2018 13:00:00,4.052,3.963,5.355,18,3,12.83,79.33,12.87,274.8,12.02
03/10/2018 14:00:00,3.174,3.142,5.072,71,3,11.34,78.49,12.75,295,8.03
03/10/2018 15:00:00,1.519,1.432,2.894,1,0,11.03,84.4,12.66,291.5,19.44
03/10/2018 16:00:00,1.949,1.875,3.392,5,0,11.28,90.7,12.62,24.83,15.81
03/10/2018 17:00:00,3.112,3.076,5.653,6,0,12.3,94.8,12.55,35.88,8.68
03/10/2018 18:00:00,3.003,2.718,5.303,89,6,12.7,96.8,12.54,26.44,24.94
03/10/2018 19:00:00,2.958,2.931,4.778,87,9,12.51,100,12.53,358.5,7.649
03/10/2018 20:00:00,1.637,1.462,3.109,23,1,12.46,100,12.53,26.37,26.48
03/10/2018 21:00:00,1.923,1.653,2.961,0,0,12.51,100,12.52,82,30.35
03/10/2018 22:00:00,1.972,0.875,3.822,0,0,12.51,100,12.52,77.77,60.4
03/10/2018 23:00:00,1.055,0.974,2.638,0,0,12.28,100,12.52,198.8,22.38
03/11/2018 00:00:00,0.908,0.399,1.952,0,0,11.96,100,12.51,191.9,60.63
03/11/2018 01:00:00,1.271,1.111,2.113,0,0,11.14,100,12.51,53.67,28.78
03/11/2018 02:00:00,1.704,1.38,2.921,0,0,10.53,100,12.5,100.6,35.33
03/11/2018 03:00:00,1.377,0.758,2.423,0,0,9.95,100,12.5,76.19,54.3
03/11/2018 04:00:00,2.398,2.31,3.526,0,0,9.33,100,12.49,87.1,15.59
03/11/2018 05:00:00,2.943,2.878,4.657,0,0,8.99,100,12.49,113.4,11.97
03/11/2018 06:00:00,3.484,3.43,4.509,0,0,8.83,100,12.48,107.8,10.1
03/11/2018 07:00:00,2.143,2.059,4.845,0,0,8.81,100,12.48,94.4,15.99
03/11/2018 08:00:00,1.378,1.211,2.557,0,0,9.89,100,12.52,86,28.19
03/11/2018 09:00:00,1.352,1.236,2.839,0,0,11.87,100,12.99,140.2,23.76
03/11/2018 10:00:00,1.362,0.957,2.65,0,0,13.83,94.6,13.28,276.9,44.19
03/11/2018 11:00:00,2.17,2.046,3.067,0,0,13.79,87.5,13.46,267.8,19.31
03/11/2018 12:00:00,2.812,2.738,5.367,0,0,14.73,82.8,13.36,235.2,13.16
03/11/2018 13:00:00,4.768,4.663,6.644,12,2,15.11,85.4,13.29,238.6,12.05
03/11/2018 14:00:00,3.102,2.966,5.178,0,0,14.89,88.1,13.27,254.2,16.97
03/11/2018 15:00:00,2.887,2.768,4.425,0,0,14.87,88.6,13.29,271.4,16.38
03/11/2018 16:00:00,3.345,3.314,4.613,0,0,14.95,87.2,13.25,323.5,7.839
03/11/2018 17:00:00,3.066,3.039,4.344,0,0,15.27,80.7,13.02,339.3,7.609
03/11/2018 18:00:00,2.37,2.318,3.282,0,0,15.54,77.36,12.89,312.4,12.06
03/11/2018 19:00:00,1.214,1.092,2.838,0,0,14.07,88.4,12.86,335.3,25.71
03/11/2018 20:00:00,1.32,1.269,2.288,0,0,13.71,90,12.83,88.3,15.82
03/11/2018 21:00:00,2.224,2.182,3.365,0,0,13.52,88.2,12.82,128.1,11.15
03/11/2018 22:00:00,1.333,1.046,2.584,0,0,12.92,90.8,12.79,75.71,37.58
03/11/2018 23:00:00,0.718,0.505,2.288,0,0,12.49,91.6,12.78,46.2,44.12
03/12/2018 00:00:00,2.062,1.87,3.271,0,0,11.97,93.4,12.76,70.99,24.72
03/12/2018 01:00:00,2.055,2.037,2.826,0,0,11.52,93.9,12.74,94.5,7.605
03/12/2018 02:00:00,1.738,1.524,3.163,0,0,11.14,95.5,12.72,95.5,28.46
03/12/2018 03:00:00,1.552,1.444,2.45,0,0,10.88,96.3,12.71,82.2,21.36
03/12/2018 04:00:00,2.009,1.623,4.065,0,0,10.32,99.4,12.69,59.79,35.5
03/12/2018 05:00:00,1.366,0.932,3.109,0,0,10.44,99.8,12.67,194.5,45.64
03/12/2018 06:00:00,2.314,2.077,4.024,0,0,10.05,100,12.66,61.47,25.94
03/12/2018 07:00:00,1.38,0.661,2.894,0,0,10.24,100,12.65,103.3,58.49
03/12/2018 08:00:00,2.178,1.914,3.109,0,0,11.55,100,12.66,167.8,28.21
03/12/2018 09:00:00,1.672,1.28,3.445,0,0,13.23,96.6,12.7,129.2,39.23
03/12/2018 10:00:00,2.015,1.882,3.215,0,0,13.96,90.8,13.09,288.1,20.79
03/12/2018 11:00:00,2.14,2.067,3.336,0,0,14.36,88.8,13.3,284.8,14.91
03/12/2018 12:00:00,2.744,2.669,3.874,0,0,14.52,88.7,13.19,304.6,13.4
03/12/2018 13:00:00,3.028,2.951,4.022,0,0,14.6,91.4,13.02,301.6,12.91
03/12/2018 14:00:00,4.646,4.198,8.63,4,1,14.72,92.4,13.05,248.4,25.15
03/12/2018 15:00:00,4.049,3.929,7.397,0,0,15.28,87.7,12.92,229.7,13.91
03/12/2018 16:00:00,4.126,3.859,8.08,1,1,14.89,89.5,12.86,233.2,20.61
03/12/2018 17:00:00,1.271,0.344,4.708,0,0,15.56,86.5,12.82,270.3,69.16
03/12/2018 18:00:00,1.941,0.193,3.376,16,3,15.72,85.1,12.8,80.3,76.87
03/12/2018 19:00:00,2.252,0.877,5.422,8,0,14.29,94,12.77,83,63.28
03/12/2018 20:00:00,2.946,2.63,4.87,0,0,14.72,97.7,12.73,89.3,26.52
03/12/2018 21:00:00,3.607,3.542,6.228,0,0,15.42,96.2,12.69,139.3,10.87
03/12/2018 22:00:00,4.305,4.274,6.255,0,0,15.25,100,12.66,124.4,6.885
03/12/2018 23:00:00,4.878,4.853,7.062,45,5,15.41,95.8,12.63,122.3,5.777
03/13/2018 00:00:00,3.847,3.808,5.717,1,0,15.64,94.2,12.62,126.4,8.18
03/13/2018 01:00:00,3.058,3.037,4.452,0,0,15.73,94.1,12.62,109.9,6.742
03/13/2018 02:00:00,2.006,1.761,3.376,0,0,15.75,93.7,12.61,153,28.34
03/13/2018 03:00:00,2.103,2.038,3.901,0,0,15.95,93.9,12.6,109.7,14.23
03/13/2018 04:00:00,2.276,2.152,6.08,0,0,16.26,93.6,12.6,179.5,18.91
03/13/2018 05:00:00,5.159,5.041,8.02,0,0,16.46,92.9,12.59,185.3,12.23
03/13/2018 06:00:00,5.041,5.004,7.116,25,1,15.91,94.6,12.58,169.2,6.877
03/13/2018 07:00:00,4.811,4.792,7.359,86,2,15.56,98.4,12.57,172.6,5.105
03/13/2018 08:00:00,5.293,5.235,8.12,253,10,15.54,100,12.57,176.9,8.43
03/13/2018 09:00:00,6.237,6.195,9.39,0,0,15.76,98.6,12.57,182.8,6.603
03/13/2018 10:00:00,6.349,6.25,8.85,0,0,15.87,95.7,12.58,193.3,10.09
03/13/2018 11:00:00,5.822,5.795,8.08,0,0,15.12,99.7,12.59,198.7,5.593
03/13/2018 12:00:00,6.578,6.551,8.72,0,0,15.3,100,12.63,199.8,5.113
03/13/2018 13:00:00,5.827,5.782,8.29,0,0,15.18,100,12.67,202,7.154
03/13/2018 14:00:00,6.248,6.209,8.63,21,0,15.47,100,12.89,204.7,6.387
03/13/2018 15:00:00,6.674,6.651,8.89,19,3,15.08,100,12.93,204.6,4.826
03/13/2018 16:00:00,6.436,6.413,8.73,0,0,14.77,100,12.76,201.2,4.867
03/13/2018 17:00:00,5.841,5.596,8.07,0,0,14.32,100,12.65,214.8,16.59
03/13/2018 18:00:00,4.878,4.76,8.53,0,0,13.43,100,12.58,268.6,12.62
03/13/2018 19:00:00,4.155,4.05,7.023,15,0,13.06,100,12.55,261.5,12.86
03/13/2018 20:00:00,2.927,2.718,4.184,0,0,12.93,100,12.54,227.5,21.68
03/13/2018 21:00:00,3.033,2.935,4.723,0,0,12.95,100,12.52,230.5,14.54
03/13/2018 22:00:00,3.518,3.405,4.601,0,0,13.04,100,12.52,213.8,14.55
03/13/2018 23:00:00,3.989,3.96,4.844,0,0,13.01,100,12.51,215.7,6.87
03/14/2018 00:00:00,3.528,3.519,5.194,0,0,13.01,100,12.5,231.6,4.145
03/14/2018 01:00:00,2.955,2.937,3.916,0,0,12.99,100,12.5,235.3,6.379
03/14/2018 02:00:00,2.882,2.862,4.172,0,0,12.92,99,12.49,245.8,6.729
03/14/2018 03:00:00,1.955,1.785,2.813,0,0,11.87,99.7,12.49,134.2,23.93
03/14/2018 04:00:00,2.584,2.559,4.428,0,0,11.4,100,12.48,127.6,7.976
03/14/2018 05:00:00,3.101,3.076,4.32,0,0,11.35,100,12.48,137.9,7.328
03/14/2018 06:00:00,2.473,2.042,4.199,145,12,11.35,100,12.47,66.62,33.79
03/14/2018 07:00:00,1.977,1.717,3.917,45,2,11.47,100,12.47,2.079,29.37
03/14/2018 08:00:00,1.537,1.265,2.921,4,0,11.67,100,12.48,81,34.1
03/14/2018 09:00:00,2.799,2.702,3.955,11,0,12.81,95.2,12.6,118.8,15.08
03/14/2018 10:00:00,2.563,1.841,4.345,0,0,14.37,79.92,13.01,164.9,42.99
03/14/2018 11:00:00,4.022,4.005,5.367,0,0,13.99,87.9,13.2,228.7,5.231
03/14/2018 12:00:00,4.351,4.327,5.34,0,0,14.1,87.6,13.15,229.6,6.044
03/14/2018 13:00:00,4.541,4.013,7.734,0,0,14,84.8,13.06,253.6,27.61
03/14/2018 14:00:00,4.234,4.14,7.895,71,10,12.37,81.1,12.93,299,12.08
03/14/2018 15:00:00,2.106,2.018,3.135,16,0,12.68,80.7,13,242.1,16.51
03/14/2018 16:00:00,1.996,1.9,3.498,0,0,13.14,81.7,12.91,262.5,17.74
03/14/2018 17:00:00,3.077,3.043,5.247,8,0,12.74,86.2,12.83,308.5,8.51
03/14/2018 18:00:00,1.594,1.562,2.583,0,0,12.61,81.8,12.77,276.6,11.5
03/14/2018 19:00:00,2.179,2.148,3.324,21,1,12.4,82.4,12.74,265.2,9.66
03/14/2018 20:00:00,3.586,3.337,6.447,0,0,12.55,80.1,12.71,292.4,21.37
03/14/2018 21:00:00,3.777,3.691,5.316,0,0,12.3,76.73,12.69,341,12.17
03/14/2018 22:00:00,2.993,2.955,4.643,0,0,11.85,79.61,12.66,346.6,9.07
03/14/2018 23:00:00,3.412,3.376,4.24,0,0,10.85,83.6,12.64,5.282,8.29
03/15/2018 00:00:00,2.788,2.715,4.186,0,0,10.36,84.5,12.62,1.81,13.11
03/15/2018 01:00:00,3.132,2.55,5.236,0,0,10.17,83.6,12.6,350.8,34.93
03/15/2018 02:00:00,3.169,2.971,5.989,0,0,9.23,85.4,12.57,15.13,20.22
03/15/2018 03:00:00,2.467,2.329,3.836,0,0,8.48,87.3,12.54,25.9,19.16
03/15/2018 04:00:00,2.85,2.826,3.715,0,0,7.589,90.1,12.51,44.59,7.573
03/15/2018 05:00:00,2.894,2.877,4.539,0,0,7.223,90.8,12.49,43.35,6.172
03/15/2018 06:00:00,3.415,3.383,4.929,0,0,7.28,87.8,12.46,40.59,7.838
03/15/2018 07:00:00,2.395,2.379,3.771,0,0,7.258,85,12.46,42.15,6.705
03/15/2018 08:00:00,2.145,1.991,4.375,0,0,8.11,84.3,12.49,29.81,21.65
03/15/2018 09:00:00,2.839,2.65,5.047,0,0,10.21,71.02,12.45,328.4,20.92
03/15/2018 10:00:00,4.24,4.126,6.351,0,0,11.45,60.16,12.45,308.2,13.27
03/15/2018 11:00:00,4.888,4.857,6.915,0,0,11.96,61.06,12.45,278,6.4
03/15/2018 12:00:00,7.461,7.438,10.56,5254,1373,12.96,59.76,12.45,286.1,4.46
03/15/2018 13:00:00,9.24,9.22,11.46,41113,12665,12.83,64.01,12.45,283.6,4.089
03/15/2018 14:00:00,9.53,9.5,12.32,88289,36127,13.13,63.8,12.46,284.7,4.167
03/15/2018 15:00:00,9.13,9.11,11.43,61815,18385,13.23,64.76,12.47,281.8,4.223
03/15/2018 16:00:00,8.55,8.52,10.45,27043,6043,13.14,66.43,12.47,282.7,5.013
03/15/2018 17:00:00,8.75,8.73,10.64,39024,11234,13.01,65.26,12.47,288.6,4.47
03/15/2018 18:00:00,7.67,7.644,10.07,3861,723,12.63,68.2,12.48,290.8,4.687
03/15/2018 19:00:00,5.941,5.904,7.75,0,0,12.2,71.67,12.48,300,6.414
03/15/2018 20:00:00,3.564,3.515,5.801,0,0,12.23,72.64,12.47,306.1,9.44
03/15/2018 21:00:00,2.802,2.78,4.293,0,0,12.41,72.88,12.47,291.1,7.17
03/15/2018 22:00:00,2.071,0.112,4.011,0,0,12.09,74.97,12.47,203.4,78.77
03/15/2018 23:00:00,3.594,3.528,4.953,0,0,10.78,78.68,12.46,126.5,10.95
03/16/2018 00:00:00,3.9,3.878,5.37,9,0,10.69,81.4,12.45,117.4,6.084
03/16/2018 01:00:00,4.217,4.172,6.689,1,0,10.15,83.8,12.45,123.2,8.43
03/16/2018 02:00:00,4.78,4.747,7.376,0,0,9.79,87,12.44,118.8,6.778
03/16/2018 03:00:00,4.932,4.911,6.649,2,0,9.66,88.7,12.44,115,5.245
03/16/2018 04:00:00,4.505,4.468,6.326,0,0,9.87,88.6,12.43,118.9,7.297
03/16/2018 05:00:00,4.392,4.356,6.083,2,0,9.6,87.7,12.43,112.3,7.341
03/16/2018 06:00:00,4.913,4.862,7.079,0,0,9.15,83.7,12.43,115.1,8.23
03/16/2018 07:00:00,5.229,5.202,7.685,0,0,9.52,84.1,12.42,127,5.838
03/16/2018 08:00:00,5.577,5.549,7.497,24,2,10.43,85.5,12.43,126.1,5.675
03/16/2018 09:00:00,5.253,5.226,7.241,177,11,10.82,88.4,12.47,127.1,5.829
03/16/2018 10:00:00,4.951,4.574,8.34,53,4,11.79,89.7,12.41,169,22.34
03/16/2018 11:00:00,6.406,6.28,9.71,56,11,13.36,83.1,12.41,199.6,11.38
03/16/2018 12:00:00,9.33,9.28,12.24,190503,233469,13.7,81.6,12.4,204.2,5.509
03/16/2018 13:00:00,8.87,8.82,11.45,174979,202997,13.64,80.9,12.41,203.8,5.916
03/16/2018 14:00:00,6.386,6.166,11.95,5356,584,12.5,90.2,12.45,219.5,15.02
03/16/2018 15:00:00,5.725,5.538,9.08,414,30,11.62,93.9,12.45,248.9,14.62
03/16/2018 16:00:00,6.134,5.928,10.2,1479,122,11.07,96.5,12.43,286.8,14.84
03/16/2018 17:00:00,5.836,5.816,9.72,30,2,11.37,86.9,12.42,290.2,4.761
03/16/2018 18:00:00,4.652,4.578,9.56,2,0,11.96,78.75,12.42,296.3,10.2
03/16/2018 19:00:00,5.244,5.223,7.86,0,0,11.76,74.58,12.41,294.5,5.142
03/16/2018 20:00:00,4.952,4.926,6.743,0,0,11.54,75.68,12.4,299.5,5.886
03/16/2018 21:00:00,2.206,1.718,5.585,0,0,10.16,80.8,12.4,20.01,38.08
03/16/2018 22:00:00,2.327,2.15,4.038,0,0,8.9,89.6,12.39,71.21,22.34
03/16/2018 23:00:00,2.349,2.313,3.324,0,0,8.42,92.2,12.39,107.3,10.05
03/17/2018 00:00:00,2.181,1.99,3.769,0,0,7.771,94.7,12.39,99.1,23.98
03/17/2018 01:00:00,2.17,2.009,3.609,0,0,7.208,95.6,12.38,72.78,22.1
03/17/2018 02:00:00,2.699,2.303,5.104,0,0,6.93,96.3,12.38,75,31.04
03/17/2018 03:00:00,2.059,2.013,3.542,0,0,6.372,96.3,12.37,59.1,12.14
03/17/2018 04:00:00,2.424,2.371,3.704,0,0,5.76,96.2,12.37,64.65,11.95
03/17/2018 05:00:00,2.637,2.451,4.337,0,0,5.209,97.8,12.36,106.2,21.52
03/17/2018 06:00:00,2.469,2.347,4.539,0,0,5.249,97.6,12.35,113.8,18.04
03/17/2018 07:00:00,2.211,2.153,3.744,0,0,4.703,97.5,12.35,102.3,13.1
03/17/2018 08:00:00,2.289,2.222,5.142,11,0,6.366,95.5,12.35,113,13.84
03/17/2018 09:00:00,3.939,3.892,5.586,1,0,8.35,88,12.34,128.1,8.81
03/17/2018 10:00:00,2.324,2.231,4.563,0,0,11.16,74.81,12.34,134.4,16.23
03/17/2018 11:00:00,1.738,1.631,3.362,0,0,12.55,63.7,12.34,252.6,20.07
03/17/2018 12:00:00,2.795,2.737,4.062,0,0,12.71,61.01,12.34,250.5,11.64
03/17/2018 13:00:00,4.35,4.312,6.308,0,0,12.87,62.8,12.35,253,7.544
03/17/2018 14:00:00,5.221,5.196,7.102,0,0,12.8,66.81,12.37,248.5,5.581
03/17/2018 15:00:00,6.261,6.233,8,147,29,12.84,69.23,12.36,253.7,5.416
03/17/2018 16:00:00,10.04,9.42,18.72,180699,552699,10.85,75.73,12.37,310,20.15
03/17/2018 17:00:00,4.557,4.277,7.281,36,6,11.66,63.65,12.38,306.6,20.08
03/17/2018 18:00:00,3.459,3.429,4.548,0,0,11.52,63.53,12.38,284,7.429
03/17/2018 19:00:00,4.666,4.62,6.581,0,0,11.01,67.16,12.37,282.7,7.984
03/17/2018 20:00:00,5.272,5.217,6.756,0,0,10.83,70.45,12.37,311.5,8.32
03/17/2018 21:00:00,2.342,2.173,4.522,0,0,9.3,74.88,12.37,22.34,21.73
03/17/2018 22:00:00,2.254,2.177,3.528,0,0,8.11,79.77,12.36,48.87,14.95
03/17/2018 23:00:00,2.125,2.093,3.852,0,0,6.545,87.4,12.35,53.55,10.04
03/18/2018 00:00:00,1.933,1.891,3.057,0,0,6.223,88,12.35,45.66,11.9
03/18/2018 01:00:00,2.708,2.623,4.337,0,0,5.23,90.6,12.34,67.28,14.35
03/18/2018 02:00:00,2.206,2.163,3.219,0,0,4.957,91.3,12.33,97.2,11.26
03/18/2018 03:00:00,2.193,2.168,3.461,0,0,4.237,93,12.33,85.7,8.58
03/18/2018 04:00:00,2.304,2.254,3.192,0,0,4.176,93.2,12.32,108.6,11.93
03/18/2018 05:00:00,1.817,1.644,3.448,0,0,4.083,92.7,12.31,83.2,25.04
03/18/2018 06:00:00,1.501,1.416,3.34,0,0,4.228,91.6,12.31,63.35,19.28
03/18/2018 07:00:00,3.239,3.17,5.253,0,0,4.515,90.5,12.3,43.01,11.89
03/18/2018 08:00:00,3.903,3.879,5.374,0,0,7.436,80.9,12.3,18.71,6.286
03/18/2018 09:00:00,5.292,5.239,7.429,1400,346,10.26,66.45,12.38,28.5,8.13
03/18/2018 10:00:00,4.317,4.169,7.618,256,36,12.44,55.35,12.74,27.06,15.02
03/18/2018 11:00:00,4.217,3.432,6.659,0,0,13.74,52.27,12.87,346.6,34.95
03/18/2018 12:00:00,6.44,6.399,8.86,1863,314,13.29,62.72,12.93,297.8,6.44
03/18/2018 13:00:00,7.717,7.699,9.64,31807,9304,13.94,61.27,12.92,293.5,3.888
03/18/2018 14:00:00,6.714,6.697,8.47,305,43,14.4,63.41,12.93,283.4,4.117
03/18/2018 15:00:00,7.784,7.755,10.22,18391,4818,13.92,69.16,12.86,281.7,5.018
03/18/2018 16:00:00,7.759,7.73,9.79,8374,1869,13.25,69.9,12.71,292.8,4.941
03/18/2018 17:00:00,5.814,5.617,9.79,1935,352,13.03,73.87,12.62,300.8,14.93
03/18/2018 18:00:00,1.674,1.335,2.866,0,0,13.47,66.39,12.58,37.63,36.42
03/18/2018 19:00:00,1.882,1.763,4.038,0,0,12.61,68.03,12.55,47.24,20.36
03/18/2018 20:00:00,2.622,2.554,4.549,0,0,11.51,74,12.52,41.52,13.07
03/18/2018 21:00:00,1.913,1.727,4.536,0,0,10.56,78.58,12.49,47.63,25.29
03/18/2018 22:00:00,2.228,2.074,4.832,0,0,10.34,76.6,12.46,48.04,21.3
03/18/2018 23:00:00,1.376,0.642,3.445,0,0,10.02,73.61,12.43,52.28,59.14
03/19/2018 00:00:00,2.598,2.581,4.213,0,0,8.66,86.3,12.4,124.2,6.473
03/19/2018 01:00:00,2.212,2.186,3.083,0,0,8.1,89.5,12.36,100.9,8.77
03/19/2018 02:00:00,1.976,1.923,3.34,0,0,7.259,89.8,12.35,80.7,13.32
03/19/2018 03:00:00,1.908,1.865,2.788,0,0,6.704,90.9,12.33,97.2,12.12
03/19/2018 04:00:00,1.803,1.712,3.138,0,0,6.083,92.1,12.32,99.8,18.18
03/19/2018 05:00:00,3.345,3.227,5.562,0,0,5.553,91.5,12.31,124.6,15.19
03/19/2018 06:00:00,4.136,3.733,5.347,0,0,5.683,87.9,12.3,117.5,25.3
03/19/2018 07:00:00,2.319,2.165,4.768,0,0,6.037,86.1,12.3,85,20.88
03/19/2018 08:00:00,2.03,1.895,3.917,0,0,8.31,78.67,12.39,132.5,20.89
03/19/2018 09:00:00,3.413,3.361,5.141,0,0,10.92,71.51,12.73,128.2,9.92
03/19/2018 10:00:00,2.259,2.174,4.129,0,0,15.23,54.73,12.85,139.9,15.77
03/19/2018 11:00:00,2.851,2.696,5.931,0,0,17.96,44.18,12.76,154.4,18.89
03/19/2018 12:00:00,3.201,3.028,5.445,8,1,16.79,56.95,12.75,238.7,18.86
03/19/2018 13:00:00,4.78,4.713,6.604,0,0,15.07,65.61,12.8,237.4,9.6
03/19/2018 14:00:00,6.188,6.155,8.11,684,90,14.87,73.05,12.82,231.8,5.9
03/19/2018 15:00:00,5.223,5.19,7.707,0,1,14.87,75.64,12.81,233,6.424
03/19/2018 16:00:00,3.12,3.103,4.223,10,0,14.49,77.67,12.83,248.2,6.038
03/19/2018 17:00:00,2.694,2.671,3.618,0,0,14.11,77.44,12.7,252,7.344
03/19/2018 18:00:00,1.888,1.868,3.269,0,0,13.83,78.36,12.62,266.1,8.25
03/19/2018 19:00:00,0.792,0.673,2.032,0,0,13.14,81.2,12.55,78.23,31.28
03/19/2018 20:00:00,1.512,1.435,2.921,0,0,12.65,81.7,12.52,96.9,18.33
03/19/2018 21:00:00,1.46,1.422,2.611,0,0,12.11,81.7,12.47,97,13.01
03/19/2018 22:00:00,2.133,2.099,3.042,0,0,11,82.3,12.43,102.5,10.25
03/19/2018 23:00:00,2.362,2.301,3.405,0,0,10.65,78.47,12.39,112.6,13.03
03/20/2018 00:00:00,3.308,3.267,4.697,0,0,9.97,80.9,12.37,106.6,9.06
03/20/2018 01:00:00,2.15,2.112,4.791,0,0,9.43,83.3,12.35,69.11,10.77
03/20/2018 02:00:00,4.257,4.168,5.855,0,0,10.58,82,12.33,103.4,11.7
03/20/2018 03:00:00,5.157,5.091,7.012,0,0,10.53,82,12.32,117,9.12
03/20/2018 04:00:00,4.867,4.836,6.81,0,0,10.69,82.7,12.32,120.2,6.4
03/20/2018 05:00:00,3.703,3.579,5.774,0,0,11.21,78.26,12.31,86.6,14.86
03/20/2018 06:00:00,2.461,1.836,4.213,0,0,11.74,75.95,12.3,185.9,40.83
03/20/2018 07:00:00,1.861,1.62,3.405,0,0,11.97,75.41,12.3,149.2,29.14
03/20/2018 08:00:00,1.173,1.136,2.14,0,0,12.93,72.13,12.31,75.79,14.35
03/20/2018 09:00:00,1.635,1.328,3.685,0,0,14.52,62.27,12.41,219.9,35.06
03/20/2018 10:00:00,2.528,2.451,3.927,0,0,14.39,76.87,12.72,251.6,14.14
03/20/2018 11:00:00,2.031,1.885,3.954,0,0,14.51,75.74,12.78,285.1,21.76
03/20/2018 12:00:00,1.777,1.65,3.322,0,0,15.4,48.83,12.68,309.4,21.66
